,OneH_Tru,ThreeH_Tru,SixH_Tru,SevenH_Tru
ENSGACG00000018421,55,25,46,47
ENSGACG00000018422,489,521,884,952
ENSGACG00000018432,3,2,1,2
ENSGACG00000018433,8,1,0,2
ENSGACG00000018435,48,26,30,65
ENSGACG00000018438,1999,1784,3049,3133
ENSGACG00000018439,71613,65729,128575,115016
ENSGACG00000018440,157,140,179,98
ENSGACG00000018442,4,9,16,16
ENSGACG00000018443,1390,1535,2619,3417
ENSGACG00000018444,2540,2819,4294,7236
ENSGACG00000018445,577,339,707,795
ENSGACG00000018447,297,387,611,658
ENSGACG00000018449,774,487,943,1024
ENSGACG00000018450,554,618,1765,924
ENSGACG00000018453,8,0,9,1
ENSGACG00000018455,58,85,113,82
ENSGACG00000018456,12,24,51,59
ENSGACG00000018457,176,132,293,304
ENSGACG00000018461,38,17,89,146
ENSGACG00000018464,1,6,1061,1133
ENSGACG00000018466,6,3,7,0
ENSGACG00000018467,169,156,149,151
ENSGACG00000018471,4,0,6,4
ENSGACG00000018474,0,0,0,0
ENSGACG00000018475,4,3,5,5
ENSGACG00000018477,0,0,0,2
ENSGACG00000018480,25,28,77,50
ENSGACG00000018483,213,277,376,390
ENSGACG00000018484,1080,840,1897,1769
ENSGACG00000018485,562,398,1032,1100
ENSGACG00000018487,1007,664,1385,1020
ENSGACG00000018489,12,685,173,778
ENSGACG00000018490,2057,1759,3607,3917
ENSGACG00000018493,160,102,423,397
ENSGACG00000018496,1284,1266,1988,2083
ENSGACG00000018498,5085,5864,7874,7522
ENSGACG00000018503,1887,1540,1897,1720
ENSGACG00000018508,1327,1063,2471,2380
ENSGACG00000018509,1459,771,1468,1316
ENSGACG00000018511,936,905,1735,1695
ENSGACG00000018514,1861,1646,3308,4092
ENSGACG00000018523,389,303,305,627
ENSGACG00000018525,251,172,265,270
ENSGACG00000018527,0,0,8,0
ENSGACG00000018529,2683,2045,4313,3576
ENSGACG00000018532,4,8,7,6
ENSGACG00000018533,57,18,49,78
ENSGACG00000018534,155,134,305,221
ENSGACG00000018539,1037,761,2422,1704
ENSGACG00000018540,710,411,727,361
ENSGACG00000018541,3364,2503,6176,5252
ENSGACG00000018542,36,25,54,171
ENSGACG00000018543,450,475,644,679
ENSGACG00000018545,1231,802,1729,1622
ENSGACG00000018547,0,0,0,2
ENSGACG00000018548,8,6,26,19
ENSGACG00000018550,109,89,362,265
ENSGACG00000018552,15579,14672,30969,27307
ENSGACG00000018556,15062,13844,24786,21672
ENSGACG00000018558,2,4,10,14
ENSGACG00000018559,18127,16653,26136,23113
ENSGACG00000018571,882,682,1999,1407
ENSGACG00000018572,4775,5027,7815,6596
ENSGACG00000018574,331,417,357,408
ENSGACG00000018578,312,315,334,384
ENSGACG00000018579,90,40,37,60
ENSGACG00000018580,807,545,696,2192
ENSGACG00000018585,1378,1003,1422,2007
ENSGACG00000018587,2492,1750,4541,3847
ENSGACG00000018595,47,24,22,107
ENSGACG00000018598,454,374,418,831
ENSGACG00000018601,18,7,25,20
ENSGACG00000018602,81,62,31,27
ENSGACG00000018605,450,566,850,860
ENSGACG00000018608,358,349,770,805
ENSGACG00000018610,21,15,18,36
ENSGACG00000018613,2,0,0,0
ENSGACG00000018614,0,2,2,0
ENSGACG00000018615,0,0,0,0
ENSGACG00000018616,2985,2248,4337,4040
ENSGACG00000018620,2897,2236,3769,3992
ENSGACG00000018623,410,398,513,643
ENSGACG00000018626,1444,1541,2557,2556
ENSGACG00000018631,574,480,906,845
ENSGACG00000022898,3,2,7,6
ENSGACG00000018634,6520,4798,7366,11055
ENSGACG00000018642,2162,1841,3426,3438
ENSGACG00000018647,351,354,584,807
ENSGACG00000021515,0,0,0,0
ENSGACG00000022231,0,0,0,0
ENSGACG00000018655,35,31,73,80
ENSGACG00000018656,650,652,858,1462
ENSGACG00000018659,1742,1974,3190,3428
ENSGACG00000018662,15,34,81,221
ENSGACG00000018663,6,6,17,3
ENSGACG00000018664,36,44,107,129
ENSGACG00000018665,4003,3458,7193,6788
ENSGACG00000018677,350,312,689,795
ENSGACG00000018678,35,34,150,237
ENSGACG00000018679,85,57,71,151
ENSGACG00000018680,29,18,39,67
ENSGACG00000018682,68,50,79,60
ENSGACG00000018683,6,0,4,4
ENSGACG00000018684,695,630,1009,1031
ENSGACG00000018687,4084,4411,11455,10212
ENSGACG00000018693,3005,3603,6803,6428
